,0
Star Trek: First Contact,"Critics Consensus: Effortlessly mixing scares, laughs, and social commentary, Attack the Block is a thrilling, briskly-paced sci-fi yarn with a distinctly British flavor."
The World's End,"Critics Consensus: Like its augmented protagonist, Upgrade's old-fashioned innards get a high-tech boost -- one made even more powerful thanks to sharp humor and a solidly well-told story."
Invasion of the Body Snatchers,"Critics Consensus: Visually audacious, disorienting, and just plain weird, Videodrome's musings on technology, entertainment, and politics still feel fresh today."
The Host,"Critics Consensus: Madcap and heartfelt, Edgar Wright's apocalypse comedy The World's End benefits from the typically hilarious Simon Pegg and Nick Frost, with a plethora of supporting players."
A Quiet Place,"Critics Consensus: Employing gritty camerawork and evocative sound effects, Invasion of the Body Snatchers is a powerful remake that expands upon themes and ideas only lightly explored in the original."
Star Wars: The Force Awakens,"Critics Consensus: As populace pleasing as it is intellectually satisfying, The Host combines scares, laughs, and satire into a riveting, monster movie."
Repo Man,Critics Consensus: A Quiet Place artfully plays on elemental fears with a ruthlessly intelligent creature feature that's as original as it is scary -- and establishes director John Krasinski as a rising talent.
Starship Troopers,"Critics Consensus: Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy."
The Fifth Element,"Critics Consensus: Repo Man is many things: an alien-invasion film, a punk-rock musical, a send-up of consumerism. One thing it isn't is boring."
V for Vendetta,Critics Consensus: A fun movie...if you can accept the excessive gore and wooden acting.
Dredd,"Critics Consensus: Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously."
The Brother From Another Planet,"Critics Consensus: Visually stunning and thought-provoking, V For Vendetta's political pronouncements may rile some, but its story and impressive set pieces will nevertheless entertain."
The Adventures of Buckaroo Banzai Across the Eighth Dimension,"Critics Consensus: Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit."
Dark City,"Critics Consensus: Featuring director John Sayles trademark humanity and an expressive performance from Joe Morton, The Brother from Another Planet is an observant, dryly comic sci-fi gem."
Under the Skin,"Critics Consensus: Sci-fi parodies like these usually struggle to work, but Buckaroo Banzai succeeds through total devotion to its own lunacy."
The Man Who Fell to Earth,"Critics Consensus: Stylishly gloomy, Dark City offers a polarizing whirl of arresting visuals and noirish action."
The Fly,"Critics Consensus: Its message may prove elusive for some, but with absorbing imagery and a mesmerizing performance from Scarlett Johansson, Under the Skin is a haunting viewing experience."
Cloverfield,"Critics Consensus: Filled with stunning imagery, The Man Who Fell to Earth is a calm, meditative film that profoundly explores our culture's values and desires."
Men in Black,"Critics Consensus: David Cronenberg combines his trademark affinity for gore and horror with strongly developed characters, making The Fly a surprisingly affecting tragedy."
Tron,"Critics Consensus: A sort of Blair Witch Project crossed with Godzilla, Cloverfield is economically paced, stylistically clever, and filled with scares."
Bumblebee,"Critics Consensus: Thanks to a smart script, spectacular set pieces, and charismatic performances from its leads, Men in Black is an entirely satisfying summer blockbuster hit."
Independence Day,"Critics Consensus: Though perhaps not as strong dramatically as it is technologically, TRON is an original and visually stunning piece of science fiction that represents a landmark work in the history of computer animation."
Barbarella,Critics Consensus: Bumblebee proves it's possible to bring fun and a sense of wonder back to a bloated blockbuster franchise -- and sets up its own slate of sequels in the bargain.
Donnie Darko,"Critics Consensus: The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers."
Pacific Rim,"Critics Consensus: Unevenly paced and thoroughly cheesy, Barbarella is nonetheless full of humor, entertaining visuals, and Jane Fonda's sex appeal."
Idiocracy,"Critics Consensus: Richard Kelly's debut feature Donnie Darko is a daring, original vision, packed with jarring ideas and intelligence and featuring a remarkable performance from Jake Gyllenhaal as the troubled title character."
Fahrenheit 451,"Critics Consensus: It may sport more style than substance, but Pacific Rim is a solid modern creature feature bolstered by fantastical imagery and an irresistible sense of fun."
Demolition Man,"Critics Consensus: Frustratingly uneven yet enjoyable overall, Idiocracy skewers society's devolution with an amiably goofy yet deceptively barbed wit."
A Scanner Darkly,Critics Consensus: Fahrenheit 451 is an intriguing film that suffuses Truffaut's trademark wit and black humor with the intelligence and morality of Ray Bradbury's novel.
Source Code,"Critics Consensus: A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock."
The Abyss,"Critics Consensus: A faithful adaptation of Philip K. Dick's novel, A Scanner Darkly takes the viewer on a visual and mind-blowing journey into the author's conception of a drug-addled and politically unstable world."
Rise of the Planet of the Apes,"Critics Consensus: Finding the human story amidst the action, director Duncan Jones and charming Jake Gyllenhaal craft a smart, satisfying sci-fi thriller."
Altered States,"Critics Consensus: The utterly gorgeous special effects frequently overshadow the fact that The Abyss is also a totally gripping, claustrophobic thriller, complete with an interesting crew of characters."
Predestination,"Critics Consensus: Led by Rupert Wyatt's stylish direction, some impressive special effects, and a mesmerizing performance by Andy Serkis, Rise of the Planet of the Apes breathes unlikely new life into a long-running franchise."
They Live,"Critics Consensus: Extraordinarily daring for a Hollywood film, Altered States attacks the viewer with its inventive, aggressive mix of muddled sound effects and visual pyrotechnics."
Seconds,"Critics Consensus: Fun genre fare with uncommon intelligence, Predestination serves as a better-than-average sci-fi adventure -- and offers a starmaking turn from Sarah Snook."
Soylent Green,"Critics Consensus: A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter."
"20,000 Leagues Under the Sea","Critics Consensus: Featuring dazzling, disorienting cinematography from the great James Wong Howe and a strong lead performance by Rock Hudson, Seconds is a compellingly paranoid take on the legend of Faust."
The Hunger Games,"Critics Consensus: While admittedly melodramatic and uneven in spots, Soylent Green ultimately succeeds with its dark, plausible vision of a dystopian future."
Avatar,"Critics Consensus: One of Disney's finest live-action adventures, 20,000 Leagues Under the Sea brings Jules Verne's classic sci-fi tale to vivid life, and features an awesome giant squid."
Minority Report,"Critics Consensus: Thrilling and superbly acted, The Hunger Games captures the dramatic violence, raw emotion, and ambitious scope of its source novel."
The Strange Adventure of Lemmy Caution,"Critics Consensus: It might be more impressive on a technical level than as a piece of storytelling, but Avatar reaffirms James Cameron's singular gift for imaginative, absorbing filmmaking."
Them!,"Critics Consensus: Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."
Videodrome,"Critics Consensus: While Alphaville is by no means a conventional sci-fi film, Jean-Luc Godard creates a witty, noir-ish future all his own."
Snowpiercer,"Critics Consensus: One of the best creature features of the early atomic age, Them! features effectively menacing special effects and avoids the self-parody that would taint later monster movies."
Predator,Critics Consensus: Snowpiercer offers an audaciously ambitious action spectacular for filmgoers numb to effects-driven blockbusters.
Planet of the Apes,"Critics Consensus: One of the best political allegories of the 1950s, Invasion of the Body Snatchers is an efficient, chilling blend of sci-fi and horror."
Mad Max 2,"Critics Consensus: Predator: Part sci-fi, part horror, part action -- all muscle."
Star Trek,Critics Consensus: Planet of the Apes raises thought-provoking questions about our culture without letting social commentary get in the way of the drama and action.
Escape From New York,"Critics Consensus: The Road Warrior is everything a bigger-budgeted Mad Max sequel with should be: bigger, faster, louder, but definitely not dumber."
The War of the Worlds,"Critics Consensus: Star Trek reignites a classic franchise with action, humor, a strong story, and brilliant visuals, and will please traditional Trekkies and new fans alike."
Blade Runner 2049,"Critics Consensus: Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness."
Galaxy Quest,"Critics Consensus: Though it's dated in spots, The War of the Worlds retains an unnerving power, updating H.G. Wells' classic sci-fi tale to the Cold War era and featuring some of the best special effects of any 1950s film."
Fantastic Voyage,"Critics Consensus: Visually stunning and narratively satisfying, Blade Runner 2049 deepens and expands its predecessor's story while standing as an impressive filmmaking achievement in its own right."
Solaris,Critics Consensus: Intelligent and humorous satire with an excellent cast -- no previous Trekkie knowledge needed to enjoy this one.
Her,"Critics Consensus: The special effects may be a bit dated today, but Fantastic Voyage still holds up well as an imaginative journey into the human body."
The Iron Giant,"Critics Consensus: Solaris is a haunting, meditative film that uses sci-fi to raise complex questions about humanity and existence."
Fantastic Planet,"Critics Consensus: Sweet, soulful, and smart, Spike Jonze's Her uses its just-barely-sci-fi scenario to impart wryly funny wisdom about the state of modern human relationships."
Total Recall,Critics Consensus: The endearing Iron Giant tackles ambitious topics and complex human relationships with a steady hand and beautifully animated direction from Brad Bird.
Moon,"Critics Consensus: Fantastic Planet is an animated epic that is by turns surreal and lovely, fantastic and graceful."
The Martian,"Critics Consensus: Under Paul Verhoeven's frenetic direction, Total Recall is a fast-paced rush of violence, gore, and humor that never slacks."
Gravity,"Critics Consensus: Boosted by Sam Rockwell's intense performance, Moon is a compelling work of science-fiction, and a promising debut from director Duncan Jones."
Interstellar,"Critics Consensus: Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott."
Eternal Sunshine of the Spotless Mind,"Critics Consensus: Alfonso Cuarón's Gravity is an eerie, tense sci-fi thriller that's masterfully directed and visually stunning."
Looper,"Critics Consensus: Interstellar represents more of the thrilling, thought-provoking, and visually resplendent filmmaking moviegoers have come to expect from writer-director Christopher Nolan, even if its intellectual reach somewhat exceeds its grasp."
Close Encounters of the Third Kind,"Critics Consensus: Propelled by Charlie Kaufman's smart, imaginative script and Michel Gondry's equally daring directorial touch, Eternal Sunshine is a twisty yet heartfelt look at relationships and heartache."
Arrival,"Critics Consensus: As thought-provoking as it is thrilling, Looper delivers an uncommonly smart, bravely original blend of futuristic sci-fi and good old-fashioned action."
Ex Machina,"Critics Consensus: Close Encounters of the Third Kind is deeply humane sci-fi exploring male obsession, cosmic mysticism, and music."
WALL-E,Critics Consensus: Arrival delivers a must-see experience for fans of thinking person's sci-fi that anchors its heady themes with genuinely affecting emotion and a terrific performance from Amy Adams.
E.T. the Extra-Terrestrial,"Critics Consensus: Ex Machina leans heavier on ideas than effects, but it's still a visually polished piece of work -- and an uncommonly engaging sci-fi feature."
Godzilla,"Critics Consensus: Wall-E's stellar visuals testify once again to Pixar's ingenuity, while its charming star will captivate younger viewers -- and its timely story offers thought-provoking subtext."
Forbidden Planet,"Critics Consensus: Playing as both an exciting sci-fi adventure and a remarkable portrait of childhood, Steven Spielberg's touching tale of a homesick alien remains a piece of movie magic for young and old."
12 Monkeys,"Critics Consensus: More than straight monster-movie fare, Gojira offers potent, sobering postwar commentary."
Jurassic Park,"Critics Consensus: Shakespeare gets the deluxe space treatment in Forbidden Planet, an adaptation of The Tempest with impressive sets and seamless special effects."
Primer,"Critics Consensus: The plot's a bit of a jumble, but excellent performances and mind-blowing plot twists make 12 Monkeys a kooky, effective experience."
Stalker,"Critics Consensus: Jurassic Park is a spectacle of special effects and life-like animatronics, with some of Spielberg's best sequences of sustained awe and sheer terror since Jaws."
Gattaca,"Critics Consensus: Dense, obtuse, but stimulating, Primer is a film for viewers ready for a cerebral challenge."
Ghost in the Shell,"Critics Consensus: Stalker is a complex, oblique parable that draws unforgettable images and philosophical musings from its sci-fi/thriller setting."
Brazil,"Critics Consensus: Intelligent and scientifically provocative, Gattaca is an absorbing sci fi drama that poses important interesting ethical questions about the nature of science."
Star Trek II: The Wrath of Khan,"Critics Consensus: A stunning feat of modern animation, Ghost in the Shell offers a thoughtful, complex treat for anime fans, as well as a perfect introduction for viewers new to the medium."
District 9,"Critics Consensus: Brazil, Terry Gilliam's visionary Orwellian fantasy, is an audacious dark comedy, filled with strange, imaginative visuals."
A Clockwork Orange,"Critics Consensus: Considered by many fans to be the best of the Star Trek movies, Khan features a strong plot, increased tension, and a sharp supporting performance from Ricardo Montalban."
RoboCop,"Critics Consensus: Technically brilliant and emotionally wrenching, District 9 has action, imagination, and all the elements of a thoroughly entertaining science-fiction classic."
The Day the Earth Stood Still,"Critics Consensus: Disturbing and thought-provoking, A Clockwork Orange is a cold, dystopian nightmare with a very dark sense of humor."
Akira,"Critics Consensus: While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."
Children of Men,"Critics Consensus: Socially minded yet entertaining, The Day the Earth Stood Still imparts its moral of peace and understanding without didacticism."
The Terminator,"Critics Consensus: Akira is strikingly bloody and violent, but its phenomenal animation and sheer kinetic energy helped set the standard for modern anime."
Edge of Tomorrow,"Critics Consensus: Children of Men works on every level: as a violent chase thriller, a fantastical cautionary tale, and a sophisticated human drama about societies struggling to live."
Aliens,"Critics Consensus: With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."
Star Wars: Episode V -- The Empire Strikes Back,"Critics Consensus: Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller."
The Thing,"Critics Consensus: While Alien was a marvel of slow-building, atmospheric tension, Aliens packs a much more visceral punch, and features a typically strong performance from Sigourney Weaver."
Mad Max: Fury Road,"Critics Consensus: Dark, sinister, but ultimately even more involving than A New Hope, The Empire Strikes Back defies viewer expectations and takes the series to heightened emotional levels."
Alien,"Critics Consensus: Grimmer and more terrifying than the 1950s take, John Carpenter's The Thing is a tense sci-fi thriller rife with compelling tension and some remarkable make-up effects."
Terminator 2: Judgment Day,"Critics Consensus: With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life."
Inception,"Critics Consensus: A modern classic, Alien blends science fiction, horror and bleak poetry into a seamless whole."
The Matrix,"Critics Consensus: T2 features thrilling action sequences and eye-popping visual effects, but what takes this sci-fi/ action landmark to the next level is the depth of the human (and cyborg) characters."
Star Wars: Episode IV -- A New Hope,"Critics Consensus: Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually."
Blade Runner,"Critics Consensus: A legendarily expansive and ambitious start to the sci-fi saga, George Lucas opened our eyes to the possibilities of blockbuster filmmaking and things have never been the same."
Back to the Future,Critics Consensus: A visually awe-inspiring science fiction classic from the silent era.
2001: A Space Odyssey,"Critics Consensus: Misunderstood when it first hit theaters, the influence of Ridley Scott's mysterious, neo-noir Blade Runner has deepened with time. A visually remarkable, achingly human sci-fi masterpiece."
